,date,username,text,retweets numbers,geo
0,2017-11-30 08:59:18,WesternMAnews,UMass holding large-scale Meningitis vaccination for students http:// wwlp.com/2017/11/29/uma ss-holding-large-scale-meningitis-vaccination-for-students/ …,0,
1,2017-11-30 08:57:57,mtnhealthcare,Meningitis Outbreak Declared At UMass Amherst - WBUR https:// goo.gl/fb/kw53b6,0,
2,2017-11-30 08:57:56,Bronxvoice1,Meningitis Outbreak Declared At UMass Amherst https:// goo.gl/fb/87DMNo,0,
3,2017-11-30 08:57:49,mtnhealthcare,Meningitis Outbreak Declared At UMass Amherst - WBUR https:// goo.gl/fb/cWtYUi,0,
4,2017-11-30 08:55:36,mediat_health,Meningitis Outbreak Declared At UMass Amherst: - Meningitis Outbreak Declared At UMass Amherst WBUR… https:// goo.gl/fb/b7FnNz #Health US,0,
5,2017-11-30 08:54:45,guymetropolis,#Massachusetts . #Meningitis #outbreak declared at #UMass #Amherst http://www. wcvb.com/article/mening itis-outbreak-declared-at-umass-amherst/13970497 …,0,
6,2017-11-30 08:54:26,AmandaThienTu,Meningitis Outbreak Declared At UMass Amherst - WBUR https:// goo.gl/fb/9J2aDE,0,
7,2017-11-30 08:54:20,AmandaThienTu,Meningitis Outbreak Declared At UMass Amherst - WBUR https:// goo.gl/fb/UsTR6e,0,
8,2017-11-30 08:51:32,pharma_global,Meningitis Outbreak Declared At UMass Amherst - WBUR https:// goo.gl/fb/mVRHff,0,
9,2017-11-30 08:50:03,outbreaksnews,Meningitis Outbreak Declared At UMass Amherst - WBUR - http:// outbreak.info/meningitis-out break-declared-at-umass-amherst-wbur/ …,0,
10,2017-11-30 08:45:49,WWLP22News,UMass holding large-scale Meningitis vaccination for students https:// wp.me/p4ySuR-39nc,1,
11,2017-11-30 08:36:08,Fededepompeis,Brave meningitis baby opens eyes for first time after fourth limb amputated http://www. mirror.co.uk/news/uk-news/b rave-baby-worst-case-meningitis-11573559 …,5,
12,2017-11-30 08:32:38,mcalel964,Bowser Junior Gets West Nile Virus and Spinal Meningitis,0,
13,2017-11-30 08:32:22,Mikem268,I got like meningitis,0,
14,2017-11-30 08:32:19,GMoney_95,@OregonState I just tried to get my Meningitis shot and the health worker told me I'd have to pay $235 Excellent job managing a public health crisis It was FREE for all students at UO,0,
15,2017-11-30 08:30:45,carpe_diem0820,英国で髄膜炎菌B型の感染症による10歳代2名の死亡 髄膜炎菌B型ワクチンは昨年定期接種化が見送られた Jeremy Hunt 'sorry' for meningitis fail http://www. bbc.com/news/uk-englan d-bristol-42156479 … pic.twitter.com/oVRW8X5or4,0,
16,2017-11-30 08:30:18,LivingatUMass,"All UMass Amherst undergrads are strongly encouraged to get a Meningitis B vaccine at one of four walk-in clinics beginning tomorrow, Nov. 30. pic.twitter.com/pX0OnehvhV",0,
17,2017-11-30 08:27:05,TheHealthWeb,Meningitis Outbreak Declared At UMass Amherst - WBUR http:// dlvr.it/Q3Xmn4 #integrativehealth,0,
18,2017-11-30 08:05:11,CNS_UMass,"All @UMassAmherst undergrads are strongly encouraged to get a Meningitis B vaccine at one of four walk-in clinics beginning tomorrow, Nov. 30. Info: pic.twitter.com/QPw9N8Ar72",1,
19,2017-11-30 08:01:38,SOSEnfermero,Diagnóstico y Tratamiento Meningitis bacteriana aguda.pdf http:// fb.me/1mSfwDL3r,1,
20,2017-11-30 08:00:59,InsideIsenberg,University Health Services strongly recommends that UMass Amherst undergrads living on- and off-campus and grad students who live on-campus get a Meningitis vaccine at walk-in clinics through Dec. 5. Info: http:// umass.edu/meningitis pic.twitter.com/AQmlsEVGvL,0,
21,2017-11-30 08:00:57,JulioLo66887395,Por que soy igual a todos . con una secuela que me keso por una meningitis,0,
22,2017-11-30 08:00:30,fien_charlie,This Italian woman compares DS to Meningitis and then to AIDS! I swear you just can’t make this stuff up pic.twitter.com/5qpnuzcE0H,0,
23,2017-11-30 08:00:03,MDCollegian,"Meningitis outbreak declared on campus, but there’s no greater risk than before the determination, says UHS. http:// bit.ly/2iq4LGl",0,
24,2017-11-30 07:58:11,WesternMAnews,Newman Center at UMass making changes after meningitis outbreak http://www. westernmassnews.com/story/36956485 /newman-center-at-umass-making-changes-after-meningitis-outbreak …,0,
25,2017-11-30 07:52:41,MeathRight2Life,"If yr 3 month old baby became brain damaged following a bout of meningitis , how would you deal with the situation?",0,
26,2017-11-30 07:46:01,TiensOnlineShop,"Orang yang terjangkit Meningitis (Radang Selaput Otak) ada yg merasakan badannya selalu seperti posisi ""kayang""",0,
27,2017-11-30 07:42:14,Tribune_Health,UMass Amherst Just Declared a Meningitis Outbreak. Here's What to Know - TIME http:// bit.ly/2ka9Ymc,0,
28,2017-11-30 07:41:08,BitzHealth,UMass Amherst Just Declared a Meningitis Outbreak. Here's What to Know - TIME http:// ift.tt/2ByIfja,0,
29,2017-11-30 07:39:44,JLlewelynBowen,"I believe 100% that all young people should have the Meningitis B vaccine. Without doubt, herd immunity saves lives.",1,
30,2017-11-30 07:30:11,IsenbergUMass,"All UMass Amherst undergrads are strongly encouraged to get a Meningitis B vaccine at one of four walk-in clinics beginning tomorrow, Nov. 30. Info: http:// umass.edu/meningitis pic.twitter.com/ym4uS98XxQ",0,
31,2017-11-30 07:27:19,JanetKrahenbuhl,UMass Amherst Just Declared a Meningitis Outbreak. Here's What to Know - TIME http:// ift.tt/2inmbmX,0,
32,2017-11-30 07:20:42,seawitchspells,"Ephedra, Scapula Come winds of the Cosmonauts Sea Oryxes, carditis Et max meningitis Te reo to me",0,
33,2017-11-30 07:13:16,WesternMAnews,UMass preparing for large-scale meningitis vaccinations http://www. westernmassnews.com/story/36956042 /umass-preparing-for-large-scale-meningitis-vaccinations …,0,
34,2017-11-30 07:06:26,ellajaeh,"You can, yeah. I was actually getting the meningitis b vax because there was a fucking meningitis outbreak at Umass because this kid DIDNT GET THE SHOT",0,
35,2017-11-30 07:02:51,vodka_karenjina,meningitis dobijem od vaše kuknjave,0,
36,2017-11-30 07:02:30,BridgetAshmore,A major study in Brazil shows that the Meningococcinum nosode gives excellent protection against all the forms of meningitis . The 3 main types of bacterial meningitis in the U.S.: Meningococcal disease (Neisseria meningitidis) Pneumococcal Disease (Streptococcus pneumoniae)...,0,
37,2017-11-30 06:56:50,BridgetAshmore,Re.: Meningitis ? That both bacterial(3 types)and viral? Prevention preferable due to time constraints(The Meningococcinum nosode is used for Homeoprophylaxis to prevent meningitis . That prescription only? That appears preferable for infants to be breast-fed for 1st 2-3 months?,0,
38,2017-11-30 06:53:25,HeckerSportsMed,UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know https:// buff.ly/2inev47 pic.twitter.com/Rcq7Bvd3JA,0,
39,2017-11-30 06:53:24,mwsportsmed,UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know http:// ti.me/2inJ2iw pic.twitter.com/3IVeJ38PQr,0,
40,2017-11-30 06:53:05,vinniemagnani,'Outbreak' of meningitis strain declared at UMass http:// fb.me/1IRhVPgp9,0,
41,2017-11-30 06:52:55,LostCastaway,"Menos mal que tuvimos clases de antibióticos porque si por mí fuera trataría todo con amoxi-clavulánico. -Pero es una meningitis ... -AMOXI-CLAVULÁNICO, DIJE.",0,
42,2017-11-30 06:45:19,Bibaising,Prima! Op de MKA zijn we door de Phantasi ook alert op de SIRS-criteria. Mag de Ceftriaxon dan ook meteen gegeven worden bij verdenking Meningitis ? Scheelt weer MMT-inzet #durftevragen,0,
43,2017-11-30 06:34:55,UMass_larp,"All UMass Amherst undergrads, and grad students who live on-campus, are strongly encouraged to get a Meningitis B vaccine at one of four walk-in clinics beginning Nov. 30. Info: http:// umass.edu/meningitis pic.twitter.com/j1Nm4rJtHS",0,
44,2017-11-30 06:32:08,UMassPolicy,"All UMass Amherst undergrads, and grad students who live on-campus, are strongly encouraged to get a Meningitis B vaccine at one of four walk-in clinics beginning tomorrow, Nov. 30. Info: http:// umass.edu/meningitis pic.twitter.com/P70XnBNZrq",0,
45,2017-11-30 06:30:05,matamiguel_,Does anyone know where I can get a meningitis shot for school in town?,0,
46,2017-11-30 06:27:37,InfoMdpya,#Gesell : municipio reconoce un posible caso de #meningitis y varios de #tuberculosis - #Salud - #Regionales - @PrensaVGesell - @msalnacion - @SaludBAP - https://www. mdpya.com.ar/gesell-municip io-reconoce-un-posible-caso-de-meningitis-y-varios-de-tuberculosis/ … pic.twitter.com/TVJgs8Ihuc,0,
47,2017-11-30 06:24:33,kjenney0406,And I also got my meningitis shot today and can’t move my arm. FUCK TODAY MAN,0,
48,2017-11-30 06:20:27,legion501,"nuestro squad cierzo estará presente este Sábado día 2 en Zaragoza, en el mercadillo solidario organizado en el colegio Colegio Sagrada Familia con el fin de recaudar fondos para Paula, una niña de 5 años a la que tuvieron que amputarle una pierna a causa de una meningitis . pic.twitter.com/UZ2VvWfSCG",15,
49,2017-11-30 06:18:15,JoggingWorld,School declares a meningitis outbreak: Here's what to know http:// ift.tt/2AJcMOl pic.twitter.com/F55Jmm4adY,0,
50,2017-11-30 06:14:23,btinjah,Turut berdukacita untuk tmn gue anak kostum yg MGKN mninggal krn sakit meningitis :(,0,
51,2017-11-30 06:13:00,vuglobalhealth,VIGH Faculty Publication: Outcomes of #HIV positive patients with cryptoccal meningitis in the Americas | http:// bit.ly/2yd1cJD,0,
52,2017-11-30 06:08:58,Akasake_Pham,There are many cases of meningitis in our campus atm. Kinda scared.,0,
53,2017-11-30 06:08:35,UMassLibraries,University Health Services strongly recommends that UMass Amherst undergrads living on- and off-campus and grad students who live on-campus get a Meningitis B vaccine at walk-in clinics through Dec. 5. Info: http:// umass.edu/meningitis pic.twitter.com/PedunhJ38e,1,
54,2017-11-30 06:06:32,annerflynn,*At the health clinic* Front desk lady talking to random dude: “Have you gotten your meningitis shot yet?” Random dude: “What’s that for?” Lady: “... meningitis .” Me: pic.twitter.com/l2SD3DkPMK,0,
55,2017-11-30 06:04:09,RealFoodDr,UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know https:// goo.gl/f1wv5n #realfood #health,0,
56,2017-11-30 05:49:27,DebJBates,Mine was after I had swine flu. My sister got it after having her meningitis needle at school,1,
57,2017-11-30 05:44:49,CHarrowson,So why is there not enough hospital beds? Why are toddlers with meningitis left to sleep on two chairs??,0,
58,2017-11-30 05:40:10,LS_HealthID,#UMass #Amherst announces #Meningitis outbreak on campus. #BostonGlobe : http:// ht.ly/FGWl30gSP6y,0,
59,2017-11-30 05:36:39,fvktaco,rmbr whn u had meningitis,1,
60,2017-11-30 05:33:04,MeningitisNow,Ruby raised over £600 for Meningitis Now with a sponsored hair cut and then donated the hair to the @LPTrustUK pic.twitter.com/LnXZjvlL3z,1,
61,2017-11-30 05:29:49,alexmaiaxx,Ok so we have FREE healthcare in the UK and people STILL DO NOT VACCINATE their stinky children. This is why meningitis is on the rise. Which kills people. Public service announcement ok thank u bye x please vaccinate them bye xx,0,
62,2017-11-30 05:23:11,GunterRae,Having a big twice-yearly deadline fall on the Friday of my first full week back to work after having meningitis has been...interesting. Purple Elf Needs Nap Badly.,0,
63,2017-11-30 05:19:32,WesternMAnews,Meningitis vaccination clinics to begin at UMass Thursday http:// wwlp.com/2017/11/29/men ingitis-vaccination-clinics-to-begin-at-umass-thursday/ …,0,
64,2017-11-30 05:15:12,GregoryYoungLaw,"Pain Clinic Can't Depose FDA In Meningitis Cases, Feds Say http:// ow.ly/ElDj30fbUk9",0,
65,2017-11-30 05:10:31,megzer02,In addition she wants to raise awareness of meningitis in children Megan was also informed that the child had the vaccine and unfortunately hadn’t so please please please can you make sure your children get vaccinated against any deadly diseases thank you for reading this.,0,
66,2017-11-30 05:09:09,megzer02,On behalf of Megan Jones I would like to inform you all that Megan‘s daughter Lily Grace sadly passed away overnight in hospital in New York we must stress that meningitis is still a massive deal and we hope that you respect her privacy as she goes back to the UK for a few weeks.,0,
67,2017-11-30 05:01:20,WWLP22News,Meningitis vaccination clinics to begin at UMass Thursday https:// wp.me/p4ySuR-39js,0,
68,2017-11-30 04:57:35,firexstydia,today two years ago I went to the hospital with meningitis and I went into a coma,0,
69,2017-11-30 04:47:00,Timothyhedspet1,Whenever I type me on my phone it autocorrects to meningitis #justumassthings,2,
70,2017-11-30 04:45:18,ayy_skyye,"Vaccinations have been proven effective. & I’m glad you and your siblings have been fine, but I also doubt any of you have been at risk of contracting these diseases. I’d rather vaccinate my kid than watch them die from meningitis in 24 hours. I have had every vaccination & im ok",0,
71,2017-11-30 04:41:27,neverjanedoe,Meningitis or losing toes?,0,
72,2017-11-30 04:36:14,AmherstWire,An outbreak has been declared after two cases of meningitis B were diagnosed within 19 days of each other on the @UMassAmherst campus. @UMassUHS to hold large-scale vaccination clinics to keep students safe. https:// amherstwire.com/22291/campus/m eningitis-b-outbreak-declared-umass-uhs-to-hold-vaccination-clinics/ …,2,
73,2017-11-30 04:35:28,GBSSupport,Up to 35% of #groupBStrep infections are late-onset (7+ days) as sepsis/ meningitis . Key warning signs http:// ow.ly/EcROt #WiseUp pic.twitter.com/vC76Be0dkP,11,
74,2017-11-30 04:34:15,Gate_15_Analyst,UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know via @time http:// time.com/5041303/umass- amherst-meningitis-outbreak/ …,0,
75,2017-11-30 04:30:02,watchingeye,"MASSACHUSETTS :: UMass Amherst preparing to vaccinate students after meningitis outbreak declared ""CDC testing... http:// fb.me/2vOUygjuR",0,
76,2017-11-30 04:29:02,LowellSunNews,UMass Amherst declares meningitis outbreak http:// dpo.st/2imag96,6,
77,2017-11-30 04:12:13,Deoliver47,Meningitis outbreak on UMass Amherst campus - https://www. youtube.com/watch?v=jXsDmh wqdM4 …,1,
78,2017-11-30 04:10:04,DokterNews,"Meningitis bisa dicegah dengan vaksinasi. Cegah penyakitnya, jangan hindari vaksinnya. #infokes",0,
79,2017-11-30 04:10:01,CincyKidsRad,One of our favorite posters re:pediatric infections. Poster P009-EB-X shares this example of coccidioidomycosis meningitis #RSNA17 pic.twitter.com/ZmpUnWQDZf,4,
80,2017-11-30 04:05:35,prepperbot,UMass Amherst preparing to vaccinate students after meningitis outbreak declared #outbreaks #alerts http:// dlvr.it/Q3W0gf,1,
81,2017-11-30 04:01:26,MIDIRS,An eToolkit has been launched by the Meningitis Research Foundation (MRF) to assist with the improvement of diagnosing and managing bacterial meningitis in infants. Read more here: http:// ow.ly/q4a330gPUBS #midwives pic.twitter.com/K4eq7AhDdG,1,
82,2017-11-30 03:57:33,_SarcasticSimon,"“Oh no we don’t want you to hurt your neck, you might think you have meningitis ”",0,
83,2017-11-30 03:53:12,mike_truman,Meningitis outbreak declared at UMass Amherst http:// click.serpcom.com/Q3Vw37 pic.twitter.com/RXH9HVuowI,0,
84,2017-11-30 03:53:05,Rcdonaya,UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know http:// dlvr.it/Q3VvT5 pic.twitter.com/OQSG1H1aha,0,
85,2017-11-30 03:52:52,omfg0riginal,"I can guarantee they didn’t die from the meningitis , they died from the medical “treatment” of it because doctors don’t understand what it is. Clean the lymphatic system up, detox the body. That is how you deal with these “dis-eases”",0,
86,2017-11-30 03:52:04,kayleighqueue,A thing I regularly tell myself to cheer up is “if it was meningitis you’d probably be dead already”,0,
87,2017-11-30 03:49:32,TSWHITLOW,"UMASS' 4 day clinic for meningitis vaccinations will be held at the Cap Code Lounge in the Student Union building Thurs, Fri, Mon & Tues 12 - 6pm. Any student under 25 should consider beng vaccinated. According to UMASS emergency management director whole process is about 10mns pic.twitter.com/Ez2nzMlu8f",0,
88,2017-11-30 03:49:05,Andy_Burton,'All parents should know the symptoms' says mum of meningitis victim Harvey Phillips http:// dlvr.it/Q3VtZy,0,
89,2017-11-30 03:47:22,outbreaksnews,UMass Amherst Just Declared a Meningitis Outbreak. Here's What to Know - TIME - http:// outbreak.info/umass-amherst- just-declared-a-mening … ...,0,
90,2017-11-30 03:44:10,TSWHITLOW,"Meningitis outbreak declared at UMASS Amherst. The University now preparing to vaccinate thousands of students, by setting up a 4 day vaccination clinic on campus. Hear my full story on air & online http://WWLP.com?utm_medium=social&utm_source=twitter_TSWHITLOW WWLP.com/?utm_medium=so … pic.twitter.com/wgqNBSzMQU",0,
91,2017-11-30 03:42:40,FengmeiZhao,UMass Amherst Just Declared a Meningitis Outbreak. Here's What to Know - TIME https:// apple.news/Amsf8XSOZSIu8j -GmJDz7NQ …,0,
92,2017-11-30 03:42:28,nagato198,Some more people at my old college have died from meningitis I'm sorry but how dumb can you be to not give your baby a FREE vaccination,0,
93,2017-11-30 03:41:24,usvaxnews,"Colleges, universities must take proactive measures to protect from Meningitis B (Guest viewpoint) http:// zpr.io/nqfnY",0,
94,2017-11-30 03:40:33,delgelis,"Mucho cuidado con ésto! #Bexsero es un fármaco (vacuna de meningitis tipo B) que se dispensa con previa prescripción facultativa, además que es ILEGAL ya que no es especialidad farmacéutica publicitaria #EFP Un poquito de control con estas cositas, por favor!! @COFValladolid pic.twitter.com/RoJePFMf6R",0,
95,2017-11-30 03:40:13,VaccineFinder,UMass Amherst Officially Declares A #Meningitis Outbreak - @NEPRnet http:// ow.ly/sX3E30gT92m,0,
96,2017-11-30 03:38:11,SimplyAfterDark,"How CBD Oil May Help Lyme Disease, Strep Throat, & Meningitis - Energy Medicine Practitioner http:// mishaalmira.com/cbd-oil-may-he lp-lyme-disease-strep-throat-meningitis/ …",0,
97,2017-11-30 03:36:27,M_R_F,Incredibly brave families shared their stories with @Jeremy_Hunt and it sparked action - see what he had to say http://www. meningitis.org/news/families- stories-spark-action-from-jeremy-hunt … #menB #meningitis pic.twitter.com/KzgnTa4EzQ,5,
98,2017-11-30 03:35:46,omnipopmag,Just Pinned to OMNIPOP PINS: New top story from Time: Jamie DucharmeUMass Amherst Just Declared a Meningitis Outbreak. Heres What to Know http:// time.com/5041303/umass- amherst-meningitis-outbreak/ … | Visit http://www. omnipopmag.com/main For More!!! #Omnipop #Omnipopmag https://www. pinterest.com/pin/6443666591 57794075 … pic.twitter.com/7P17XMzxFs,0,
99,2017-11-30 03:30:46,PaulBurrowsy,"Having lost Eve to Meningitis (albeit a different strain), this is hugely important. We paid a lot for private jabs for our daughters, but it should be free to all high risk demographics, especially those who can’t afford to go private https:// twitter.com/m_r_f/status/9 35808455696375808 …",3,
100,2017-11-30 03:26:46,dog884,"Unvaccinated middle-income-to-higher-income students at the University of Massachusetts, Amherst, are the cause of the meningitis outbreak; the pattern has occurred all over the nation.",0,
101,2017-11-30 03:25:26,vilesIIaexend,meningitis ? ooo,0,
102,2017-11-30 03:24:23,VacusaludCA,"Nos quedan pocas dosis de la meningococo, la vacuna con la cual previene la meningitis que puede ser mortal. Consulta precios: 02123648349 y 04241544755 #Vacusalud",0,
103,2017-11-30 03:23:22,vinny2xxg,Now is your Organisation about DS or is it about Meningitis and Autisum?,0,
104,2017-11-30 03:22:49,mattispossum,Menges. Makes you wish you had Meningitis .,0,
105,2017-11-30 03:20:22,ClarissaWindham,UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know http:// twib.in/l/p5dx8zqGpqoE pic.twitter.com/1shaOuWWRF,0,
106,2017-11-30 03:18:39,ToningTony,UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know http:// time.com/5041303/umass- amherst-meningitis-outbreak/ … #Health #Networkmarketing pic.twitter.com/BkhqVIhm2T,0,
107,2017-11-30 03:18:38,ToningTony,UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know #Health #Networkmarketing ... http:// fb.me/5TiEoRlNU,0,
108,2017-11-30 03:17:05,SocialLifeMiami,UMass Amherst just declared a meningitis outbreak. Here's what you should know http:// ti.me/2i4dOJ7,0,
109,2017-11-30 03:16:19,SocialnnOpinion,Meningitis vaccines are out there and they are IMPORTANT! #VaccinesWork https:// twitter.com/TIME/status/93 5933133190549505 …,0,
110,2017-11-30 03:15:49,DrCsHealthBlurb,Healthzone: UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know http:// ht.ly/lMrG50fryQN,0,
111,2017-11-30 03:15:38,DivineforHealth,Health: UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know http:// ti.me/2Am4Lyk,1,
112,2017-11-30 03:14:29,aolblog,UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know http:// kenyawebsite.com/royalehealthfi tness/umass-amherst-just-declared-a-meningitis-outbreak-heres-what-to-know/ … pic.twitter.com/84peXYl1QG,0,
113,2017-11-30 03:14:06,serene_ie,UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know http:// dlvr.it/Q3VcMn #Uncategorized #Disease #healthytime pic.twitter.com/vFb24O6VzF,0,
114,2017-11-30 03:13:40,mediat_health,UMass Amherst Just Declared a Meningitis Outbreak. Here's What to Know: - UMass Amherst Just Declared a… https:// goo.gl/fb/m88pWh #Health US,0,
115,2017-11-30 03:11:33,anal0gr,UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know http:// ift.tt/2j2mroq,0,
116,2017-11-30 03:11:19,nakhon224,"""UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know"" http:// ift.tt/2j2mroq #Time",0,
117,2017-11-30 03:11:17,Kristina_How,Read about UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know on http:// time.com !!!,0,
118,2017-11-30 03:11:16,info91810276,UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know http:// dlvr.it/Q3VcXY pic.twitter.com/QzutZu8NaH,0,
119,2017-11-30 03:11:15,BeautifulCAzone,UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know http:// dlvr.it/Q3VccH #health pic.twitter.com/vRF8D9WnXL,0,
120,2017-11-30 03:11:07,michaelrosa1979,UMass Amherst Just Declared a Meningitis Outbreak. Here's What to Know #Health http:// ift.tt/2j2mroq,0,
121,2017-11-30 03:11:03,thaitvnews,UMass Amherst Just Declared a Meningitis Outbreak. Here’s What to Know http:// ift.tt/2j2mroq,0,
